Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
61734_at	RCN3					
61732_r_at	IFT74					
61297_at	CASKIN2					
60815_at	POLR2J4					
60794_f_at	ZNF814					
60474_at	FERMT1					
60471_at	RIN3					
60084_at	CYLD					
59999_at	HIF1AN					
59705_at	SCLY					
59697_at	RAB15					
59644_at	BMP2K					
59625_at	NOL3					
59437_at	C9orf116					
59375_at	MYO15B					
58994_at	CC2D1A					
58900_at	UBE2D4					
58780_s_at	ARHGEF40					
58696_at	EXOSC4					
58367_s_at	ZNF419					
58308_at	TRIM62					
57739_at	DND1					
57715_at	CALHM2					
57703_at	SENP5					
57588_at	SLC24A3					
57540_at	RBKS					
57532_at	DVL2					
57516_at	ZNF764					
57082_at	LDLRAP1					
56919_at	WDR48					
56829_at	TRAPPC9					
56821_at	SLC38A7					
56748_at	TRIM10					
564_at	GNA11					
56256_at	SIDT2					
55872_at	ZNF512B					
55705_at	R3HDM4					
55692_at	ELMO2					
55662_at	C10orf76					
55616_at	PGAP3					
55583_at	DOCK6					
55093_at	CHPF2					
55081_at	MICALL1					
55065_at	MARK4					
54970_at	ZMIZ2					
54632_at	THADA					
54051_at	PKNOX1					
54037_at	HPS4					
53991_at	DENND2A					
53987_at	RANBP10					
53968_at	INTS5					
53912_at	SNX11					
53720_at	C19orf66					
53076_at	B4GALT7					
53071_s_at	OGFOD3					
52975_at	MVB12B					
52940_at	SIGIRR					
52837_at	KIAA1644					
52741_at	TRMT61A					
52731_at	AMBRA1					
52651_at	COL8A2					
52285_f_at	CEP76					
52255_s_at	COL5A3					
52169_at	STRADA					
52164_at	C11orf24					
52159_at	HEMK1					
52078_at	TMEM222					
52005_at	WIZ					
51774_s_at	UBE2D4					
51228_at	RBM12B					
51226_at	RBM12B					
51200_at	C19orf60					
51192_at	SSH3					
51176_at	MED27					
51158_at	FAM174B					
51146_at	PIGV					
50965_at	RAB26					
50400_at	PAOX					
50376_at	ZNF444					
50374_at	OXLD1					
50314_i_at	C20orf27					
50277_at	GGA1					
50221_at	TFEB					
49878_at	PEX16					
49485_at	PRDM4					
49452_at	ACACB					
49329_at	KLHL22					
49327_at	SIRT3					
49306_at	RASSF4					
49111_at	ARRB1					
49077_at	PPME1					
49051_g_at	DTX3					
49049_at	DTX3					
48825_at	ING4					
48808_at	DHFR					
48659_at	MIIP					
48612_at	N4BP1					
48580_at	CXXC1					
48531_at	TNIP2					
48117_at	SGF29					
48106_at	SLC48A1					
48031_r_at	FAXDC2					
48030_i_at	FAXDC2					
47773_at	FBXO42					
47608_at	TJAP1					
47571_at	ZNF236					
47560_at	ADGRL1					
47553_at	WHRN					
47550_at	LZTS1					
47530_at	TRMO					
47105_at	DUS2					
47083_at	C7orf26					
47069_at	PRR5					
46947_at	GNL3L					
46665_at	SEMA4C					
46323_at	CANT1					
46256_at	SPSB3					
46142_at	LMF1					
45828_at	ATP5SL					
45749_at	FAM65A					
45714_at	HCFC1R1					
45687_at	PRR14					
45653_at	KCTD13					
45633_at	GINS3					
45572_s_at	GGA1					
45526_g_at	NAA60					
45297_at	EHD2					
45288_at	ABHD6					
44822_s_at	MIER2					
44790_s_at	RUBCNL					
44783_s_at	HEY1					
44702_at	SYDE1					
44696_at	TBC1D13					
44673_at	SIGLEC1					
44669_at	SDHAF1					
44654_at	G6PC3					
44617_at	OGFOD2					
44563_at	WRAP53					
44146_at	GMEB2					
44120_at	ADCK2					
44111_at	VPS33B					
44065_at	RITA1					
44040_at	FBXO41					
43977_at	TMEM161A					
43934_at	GPR137					
43544_at	MED16					
43511_s_at	ARRB1					
43427_at	ACACB					
42361_g_at	CCHCR1					
41858_at	PGAP2					
41856_at	UNC5B					
41660_at	CELSR1					
41657_at	STK11					
41644_at	SASH1					
41577_at	PPP1R16B					
41553_at	OSGIN2					
41512_at	BRAP					
41469_at	PI3					
41397_at	ZNF821					
41387_r_at	KDM6B					
41386_i_at	KDM6B					
41329_at	SCYL3					
41220_at	SEPT9					
41160_at	MBD3					
41113_at	ZNF500					
41047_at	C9orf16					
41037_at	TEAD4					
40850_at	FKBP8					
40837_at	TLE2					
40829_at	WDTC1					
40687_at	GJA4					
40665_at	FMO3					
40640_at	NCAPH2					
40612_at	DOPEY1					
